init_strategy,profile,seed,generation,best_duration_s
baseline,standard,20250841,350,10.617877197265647
baseline,standard,20250841,351,10.619366455078149
baseline,standard,20250841,352,10.620269775390636
baseline,standard,20250841,353,10.624591064453135
baseline,standard,20250841,354,10.624591064453135
baseline,standard,20250841,355,10.624591064453135
baseline,standard,20250841,356,10.625323486328135
baseline,standard,20250841,357,10.625323486328135
baseline,standard,20250841,358,10.625323486328135
baseline,standard,20250841,359,10.631289672851578
baseline,standard,20250841,360,10.631289672851578
baseline,standard,20250841,361,10.631289672851578
baseline,standard,20250841,362,10.631289672851578
baseline,standard,20250841,363,10.631289672851578
baseline,standard,20250841,364,10.631289672851578
baseline,standard,20250841,365,10.631289672851578
baseline,standard,20250841,366,10.633740234375022
baseline,standard,20250841,367,10.633740234375022
baseline,standard,20250841,368,10.633740234375022
baseline,standard,20250841,369,10.633740234375022
baseline,standard,20250841,370,10.633740234375022
baseline,standard,20250841,371,10.633740234375022
baseline,standard,20250841,372,10.633740234375022
baseline,standard,20250841,373,10.633740234375022
baseline,standard,20250841,374,10.633740234375022
baseline,standard,20250841,375,10.633740234375022
baseline,standard,20250841,376,10.633740234375022
baseline,standard,20250841,377,10.633740234375022
baseline,standard,20250841,378,10.635449218750004
baseline,standard,20250841,379,10.636175537109391
baseline,standard,20250841,380,10.637927246093765
baseline,standard,20250841,381,10.640051269531254
baseline,standard,20250841,382,10.640051269531254
baseline,standard,20250841,383,10.640997314453127
baseline,standard,20250841,384,10.640997314453127
baseline,standard,20250841,385,10.640997314453127
baseline,standard,20250841,386,10.641973876953143
baseline,standard,20250841,387,10.65150146484378
baseline,standard,20250841,388,10.657086181640642
baseline,standard,20250841,389,10.657086181640642
baseline,standard,20250841,390,10.660833740234379
baseline,standard,20250841,391,10.663989257812506
baseline,standard,20250841,392,10.667364501953156
baseline,standard,20250841,393,10.667364501953156
baseline,standard,20250841,394,10.66820068359377
baseline,standard,20250841,395,10.670190429687507
baseline,standard,20250841,396,10.670324707031252
baseline,standard,20250841,397,10.670886230468764
baseline,standard,20250841,398,10.67371826171878
baseline,standard,20250841,399,10.67371826171878
baseline,standard,20250841,400,10.679394531249994
baseline,standard,20250841,401,10.688043212890655
baseline,standard,20250841,402,10.689959716796901
baseline,standard,20250841,403,10.69314575195313
baseline,standard,20250841,404,10.694622802734397
baseline,standard,20250841,405,10.697583007812513
baseline,standard,20250841,406,10.697583007812513
baseline,standard,20250841,407,10.708013916015645
baseline,standard,20250841,408,10.713519287109378
baseline,standard,20250841,409,10.713519287109378
baseline,standard,20250841,410,10.713519287109378
baseline,standard,20250841,411,10.714416503906268
baseline,standard,20250841,412,10.714416503906268
baseline,standard,20250841,413,10.714416503906268
baseline,standard,20250841,414,10.714416503906268
baseline,standard,20250841,415,10.724121093750021
baseline,standard,20250841,416,10.724121093750021
baseline,standard,20250841,417,10.724121093750021
baseline,standard,20250841,418,10.725476074218765
baseline,standard,20250841,419,10.725891113281271
baseline,standard,20250841,420,10.725891113281271
baseline,standard,20250841,421,10.733850097656264
baseline,standard,20250841,422,10.7354736328125
baseline,standard,20250841,423,10.739733886718767
baseline,standard,20250841,424,10.745043945312514
baseline,standard,20250841,425,10.745043945312514
baseline,standard,20250841,426,10.745043945312514
baseline,standard,20250841,427,10.745043945312514
baseline,standard,20250841,428,10.745043945312514
baseline,standard,20250841,429,10.75059204101565
baseline,standard,20250841,430,10.75059204101565
baseline,standard,20250841,431,10.75093383789065
baseline,standard,20250841,432,10.753881835937516
baseline,standard,20250841,433,10.753881835937516
baseline,standard,20250841,434,10.756665039062518
baseline,standard,20250841,435,10.764111328125015
baseline,standard,20250841,436,10.770220947265639
baseline,standard,20250841,437,10.772460937500025
baseline,standard,20250841,438,10.772460937500025
baseline,standard,20250841,439,10.772460937500025
baseline,standard,20250841,440,10.772460937500025
baseline,standard,20250841,441,10.772460937500025
baseline,standard,20250841,442,10.774212646484369
baseline,standard,20250841,443,10.774212646484369
baseline,standard,20250841,444,10.788372802734383
