profile,seed,stage,generation,best_score
standard,20250953,surface,35,30.11469665628648
standard,20250953,surface,36,30.11469665628648
standard,20250953,surface,37,30.11469665628648
standard,20250953,surface,38,30.11469665628648
standard,20250953,surface,39,30.11469665628648
standard,20250953,surface,40,30.11469665628648
standard,20250953,surface,41,30.11469665628648
standard,20250953,surface,42,30.11469665628648
standard,20250953,surface,43,30.11469665628648
standard,20250953,surface,44,30.11469665628648
standard,20250953,surface,45,30.11469665628648
standard,20250953,surface,46,30.11469665628648
standard,20250953,surface,47,30.11469665628648
standard,20250953,surface,48,30.11469665628648
standard,20250953,surface,49,30.11469665628648
standard,20250953,surface,50,30.11469665628648
standard,20250953,surface,51,30.11469665628648
standard,20250953,surface,52,30.53555099063086
standard,20250953,surface,53,30.53555099063086
standard,20250953,surface,54,30.53555099063086
standard,20250953,surface,55,30.53555099063086
standard,20250953,surface,56,30.53555099063086
standard,20250953,surface,57,30.53555099063086
standard,20250953,surface,58,30.53555099063086
standard,20250953,surface,59,30.53555099063086
standard,20250953,surface,60,30.53555099063086
standard,20250953,surface,61,30.53555099063086
standard,20250953,surface,62,30.53555099063086
standard,20250953,surface,63,30.53555099063086
standard,20250953,surface,64,30.53555099063086
standard,20250953,surface,65,30.53555099063086
standard,20250953,surface,66,30.53555099063086
standard,20250953,surface,67,30.53555099063086
standard,20250953,surface,68,30.53555099063086
standard,20250953,surface,69,30.53555099063086
standard,20250953,surface,70,30.53555099063086
standard,20250953,surface,71,30.53555099063086
standard,20250953,surface,72,30.53555099063086
standard,20250953,surface,73,30.53555099063086
standard,20250953,surface,74,30.53555099063086
standard,20250953,surface,75,30.53555099063086
standard,20250953,surface,76,30.53555099063086
standard,20250953,surface,77,30.53555099063086
standard,20250953,surface,78,30.53555099063086
standard,20250953,surface,79,30.53555099063086
standard,20250953,surface,80,30.53555099063086
standard,20250953,surface,81,30.53555099063086
standard,20250953,surface,82,30.53555099063086
standard,20250953,surface,83,30.53555099063086
standard,20250953,surface,84,30.53555099063086
standard,20250953,surface,85,30.53555099063086
standard,20250953,surface,86,30.53555099063086
standard,20250953,surface,87,30.53555099063086
standard,20250953,surface,88,30.53555099063086
standard,20250953,surface,89,30.53555099063086
standard,20250953,surface,90,30.53555099063086
