profile,region_index,seed,generation,best_duration_s
standard,6,20250905,24,4.5866857847
standard,6,20250905,25,4.5866857847
standard,6,20250905,26,4.5866857847
standard,6,20250905,27,4.5867485000
standard,6,20250905,28,4.5871812161
standard,6,20250905,29,4.5871812161
standard,6,20250905,30,4.5871812161
standard,6,20250905,31,4.5871812161
standard,6,20250905,32,4.5871812161
standard,6,20250905,33,4.5871812161
standard,6,20250905,34,4.5876272250
standard,6,20250905,35,4.5877740866
standard,6,20250905,36,4.5878744402
standard,6,20250905,37,4.5878744402
standard,6,20250905,38,4.5878744402
standard,6,20250905,39,4.5878744402
standard,6,20250905,40,4.5878744402
standard,6,20250905,41,4.5878744402
standard,6,20250905,42,4.5878744402
standard,6,20250905,43,4.5878744402
standard,6,20250905,44,4.5878744402
standard,6,20250905,45,4.5878744402
standard,6,20250905,46,4.5878744402
standard,6,20250905,47,4.5878744402
standard,6,20250905,48,4.5878744402
standard,6,20250905,49,4.5878744402
standard,6,20250905,50,4.5878744402
standard,6,20250905,51,4.5878744402
standard,6,20250905,52,4.5878744402
standard,6,20250905,53,4.5878744402
standard,6,20250905,54,4.5878744402
standard,6,20250905,55,4.5878744402
standard,6,20250905,56,4.5878744402
standard,6,20250905,57,4.5878744402
standard,6,20250905,58,4.5878744402
standard,6,20250905,59,4.5878744402
standard,6,20250905,60,4.5878744402
standard,6,20250905,61,4.5878744402
standard,6,20250905,62,4.5878744402
standard,6,20250905,63,4.5878744402
standard,6,20250905,64,4.5878744402
standard,6,20250905,65,4.5878744402
standard,6,20250905,66,4.5878744402
standard,6,20250905,67,4.5879441023
standard,6,20250905,68,4.5879441023
standard,6,20250905,69,4.5879441023
standard,6,20250905,70,4.5879441023
standard,6,20250905,71,4.5879441023
standard,6,20250905,72,4.5879441023
standard,6,20250905,73,4.5879903176
standard,6,20250905,74,4.5879903176
standard,6,20250905,75,4.5879903176
standard,6,20250905,76,4.5879903176
standard,6,20250905,77,4.5879903176
standard,6,20250905,78,4.5879903176
standard,6,20250905,79,4.5879903176
standard,6,20250905,80,4.5879903176
standard,6,20250905,81,4.5879903176
standard,6,20250905,82,4.5879903176
standard,6,20250905,83,4.5879903176
standard,6,20250905,84,4.5879903176
standard,6,20250905,85,4.5879903176
standard,6,20250905,86,4.5879903176
standard,6,20250905,87,4.5879903176
standard,6,20250905,88,4.5879903176
standard,6,20250905,89,4.5879903176
standard,6,20250905,90,4.5879903176
standard,6,20250905,91,4.5880076141
standard,6,20250905,92,4.5880076141
standard,6,20250905,93,4.5880076141
standard,6,20250905,94,4.5880076141
standard,6,20250905,95,4.5880076141
standard,6,20250905,96,4.5880076141
standard,6,20250905,97,4.5880076141
standard,6,20250905,98,4.5880076141
standard,6,20250905,99,4.5880076141
standard,6,20250905,100,4.5880076141
standard,6,20250905,101,4.5880076141
standard,6,20250905,102,4.5880116737
standard,6,20250905,103,4.5880116737
standard,6,20250905,104,4.5880132665
standard,6,20250905,105,4.5880421337
standard,6,20250905,106,4.5880421337
standard,6,20250905,107,4.5880421337
standard,6,20250905,108,4.5880421337
standard,6,20250905,109,4.5880421337
standard,6,20250905,110,4.5880421337
standard,6,20250905,111,4.5880421337
standard,6,20250905,112,4.5880421337
standard,6,20250905,113,4.5880421337
standard,6,20250905,114,4.5880421337
standard,6,20250905,115,4.5880421337
standard,6,20250905,116,4.5880421337
standard,6,20250905,117,4.5880421337
standard,6,20250905,118,4.5880421337
standard,6,20250905,119,4.5880421337
standard,6,20250905,120,4.5880421337
standard,6,20250905,121,4.5880421337
standard,6,20250905,122,4.5880421337
standard,6,20250905,123,4.5880421337
standard,6,20250905,124,4.5880421337
standard,6,20250905,125,4.5880421337
standard,6,20250905,126,4.5880421337
standard,6,20250905,127,4.5880421337
standard,6,20250905,128,4.5880421337
standard,6,20250905,129,4.5880421337
standard,6,20250905,130,4.5880421337
standard,6,20250905,131,4.5880421337
standard,6,20250905,132,4.5880443132
standard,6,20250905,133,4.5880443132
standard,6,20250905,134,4.5880443132
standard,6,20250905,135,4.5880443132
standard,6,20250905,136,4.5880443132
standard,6,20250905,137,4.5880443132
standard,6,20250905,138,4.5880443132
standard,6,20250905,139,4.5880443132
standard,6,20250905,140,4.5880467155
standard,6,20250905,141,4.5880467155
standard,6,20250905,142,4.5880467155
standard,1,20250906,1,4.3311257408
standard,1,20250906,2,4.3311257408
standard,1,20250906,3,4.5488883625
standard,1,20250906,4,4.5488883625
standard,1,20250906,5,4.5488883625
standard,1,20250906,6,4.5488883625
standard,1,20250906,7,4.5488883625
standard,1,20250906,8,4.5488883625
standard,1,20250906,9,4.5488883625
standard,1,20250906,10,4.5488883625
standard,1,20250906,11,4.5488883625
standard,1,20250906,12,4.5488883625
standard,1,20250906,13,4.5738623291
standard,1,20250906,14,4.5738623291
standard,1,20250906,15,4.5738623291
standard,1,20250906,16,4.5738623291
standard,1,20250906,17,4.5748368705
standard,1,20250906,18,4.5748368705
standard,1,20250906,19,4.5748368705
standard,1,20250906,20,4.5748368705
standard,1,20250906,21,4.5795570246
standard,1,20250906,22,4.5795570246
standard,1,20250906,23,4.5820539340
standard,1,20250906,24,4.5820539340
standard,1,20250906,25,4.5823697988
standard,1,20250906,26,4.5823697988
standard,1,20250906,27,4.5838722900
standard,1,20250906,28,4.5838722900
standard,1,20250906,29,4.5866411470
standard,1,20250906,30,4.5866411470
standard,1,20250906,31,4.5870722839
standard,1,20250906,32,4.5870722839
standard,1,20250906,33,4.5870722839
standard,1,20250906,34,4.5870722839
standard,1,20250906,35,4.5873949521
standard,1,20250906,36,4.5876794469
standard,1,20250906,37,4.5876794469
standard,1,20250906,38,4.5876794469
standard,1,20250906,39,4.5876794469
standard,1,20250906,40,4.5876794469
standard,1,20250906,41,4.5876794469
standard,1,20250906,42,4.5876794469
standard,1,20250906,43,4.5876794469
standard,1,20250906,44,4.5876794469
standard,1,20250906,45,4.5876794469
standard,1,20250906,46,4.5877575533
standard,1,20250906,47,4.5877575533
standard,1,20250906,48,4.5877575533
standard,1,20250906,49,4.5878419684
standard,1,20250906,50,4.5878419684
standard,1,20250906,51,4.5878419684
standard,1,20250906,52,4.5878419684
standard,1,20250906,53,4.5878419684
standard,1,20250906,54,4.5878419684
standard,1,20250906,55,4.5878419684
standard,1,20250906,56,4.5878419684
standard,1,20250906,57,4.5878764104
standard,1,20250906,58,4.5879453190
standard,1,20250906,59,4.5879453190
standard,1,20250906,60,4.5879453190
standard,1,20250906,61,4.5879453190
standard,1,20250906,62,4.5879453190
standard,1,20250906,63,4.5879453190
standard,1,20250906,64,4.5879453190
standard,1,20250906,65,4.5879453190
standard,1,20250906,66,4.5879535600
standard,1,20250906,67,4.5879535600
standard,1,20250906,68,4.5879928246
standard,1,20250906,69,4.5879928246
standard,1,20250906,70,4.5879928246
standard,1,20250906,71,4.5880021877
standard,1,20250906,72,4.5880196054
standard,1,20250906,73,4.5880196054
standard,1,20250906,74,4.5880196054
standard,1,20250906,75,4.5880196054
standard,1,20250906,76,4.5880196054
standard,1,20250906,77,4.5880196054
standard,1,20250906,78,4.5880196054
standard,1,20250906,79,4.5880196054
standard,1,20250906,80,4.5880196054
standard,1,20250906,81,4.5880196054
standard,1,20250906,82,4.5880196054
standard,1,20250906,83,4.5880196054
standard,1,20250906,84,4.5880196054
