state,time_s,mode,max_distance_m,margin_m,closest_projection,cloud_x_m,cloud_y_m,cloud_z_m,missile_x_m,missile_y_m,missile_z_m,worst_target_x_m,worst_target_y_m,worst_target_z_m,closest_x_m,closest_y_m,closest_z_m
margin_curve,4.5836215416,surface,6.4091801233,3.5908198767,0.0384893610,17915.0812113910,11.9462557783,1787.3257941072,18631.7378300781,0.0000000000,1863.1737830078,-0.7620681240,193.0416056324,10.0000000000,17914.5848145428,7.4300480536,1791.8463082161
margin_curve,4.6336215416,surface,6.6143557776,3.3856442224,0.0377193620,17915.0812113910,11.9462557783,1787.1757941072,18616.8122722250,0.0000000000,1861.6812272225,-0.7620681240,193.0416056324,10.0000000000,17914.5692454553,7.2814062108,1791.8369926382
margin_curve,4.6836215416,surface,6.8196956957,3.1803043043,0.0369481276,17915.0812113910,11.9462557783,1787.0257941072,18601.8867143718,0.0000000000,1860.1886714372,-0.7620681240,193.0416056324,10.0000000000,17914.5536727590,7.1325258843,1791.8276642513
margin_curve,4.7336215416,surface,7.0252002751,2.9747997249,0.0361756549,17915.0812113910,11.9462557783,1786.8757941072,18586.9611565187,0.0000000000,1858.6961156519,-0.7620681240,193.0416056324,10.0000000000,17914.5380964392,6.9834064997,1791.8183230239
margin_curve,4.7836215416,surface,7.2308699270,2.7691300730,0.0354019407,17915.0812113910,11.9462557783,1786.7257941072,18572.0355986655,0.0000000000,1857.2035598666,-0.7620681240,193.0416056324,10.0000000000,17914.5225164813,6.8340474810,1791.8089689245
margin_curve,4.8336215416,surface,7.4367050744,2.5632949256,0.0346269822,17915.0812113910,11.9462557783,1786.5757941072,18557.1100408124,0.0000000000,1855.7110040812,-0.7620681240,193.0416056324,10.0000000000,17914.5069328704,6.6844482500,1791.7996019214
margin_curve,4.8836215416,surface,7.6427061514,2.3572938486,0.0338507764,17915.0812113910,11.9462557783,1786.4257941072,18542.1844829592,0.0000000000,1854.2184482959,-0.7620681240,193.0416056324,10.0000000000,17914.4913455919,6.5346082268,1791.7902219829
margin_curve,4.9336215416,surface,7.8488736011,2.1511263989,0.0330733202,17915.0812113910,11.9462557783,1786.2757941072,18527.2589251061,0.0000000000,1852.7258925106,-0.7620681240,193.0416056324,10.0000000000,17914.4757546307,6.3845268297,1791.7808290771
margin_curve,4.9836215416,surface,8.0552078755,1.9447921245,0.0322946106,17915.0812113910,11.9462557783,1786.1257941072,18512.3333672529,0.0000000000,1851.2333367253,-0.7620681240,193.0416056324,10.0000000000,17914.4601599720,6.2342034751,1791.7714231721
margin_curve,5.0336215416,surface,8.2617094343,1.7382905657,0.0315146445,17915.0812113910,11.9462557783,1785.9757941072,18497.4078093998,0.0000000000,1849.7407809400,-0.7620681240,193.0416056324,10.0000000000,17914.4445616008,6.0836375774,1791.7620042358
margin_curve,5.0836215416,surface,8.4683787442,1.5316212558,0.0307334190,17915.0812113910,11.9462557783,1785.8257941072,18482.4822515466,0.0000000000,1848.2482251547,-0.7620681240,193.0416056324,10.0000000000,17914.4289595019,5.9328285492,1791.7525722360
margin_curve,5.1336215416,surface,8.6752162783,1.3247837217,0.0299509310,17915.0812113910,11.9462557783,1785.6757941072,18467.5566936935,0.0000000000,1846.7556693693,-0.7620681240,193.0416056324,10.0000000000,17914.4133536602,5.7817758011,1791.7431271405
margin_curve,5.1836215416,surface,8.8822225156,1.1177774844,0.0291671773,17915.0812113910,11.9462557783,1785.5257941072,18452.6311358403,0.0000000000,1845.2631135840,-0.7620681240,193.0416056324,10.0000000000,17914.3977440605,5.6304787421,1791.7336689169
margin_curve,5.2336215416,surface,9.0893979406,0.9106020594,0.0283821550,17915.0812113910,11.9462557783,1785.3757941072,18437.7055779872,0.0000000000,1843.7705577987,-0.7620681240,193.0416056324,10.0000000000,17914.3821306874,5.4789367788,1791.7241975326
margin_curve,5.2836215416,surface,9.2967430431,0.7032569569,0.0275958610,17915.0812113910,11.9462557783,1785.2257941072,18422.7800201340,0.0000000000,1842.2780020134,-0.7620681240,193.0416056324,10.0000000000,17914.3665135257,5.3271493164,1791.7147129552
margin_curve,5.3336215416,surface,9.5042583172,0.4957416828,0.0268082921,17915.0812113910,11.9462557783,1785.0757941072,18407.8544622809,0.0000000000,1840.7854462281,-0.7620681240,193.0416056324,10.0000000000,17914.3508925599,5.1751157577,1791.7052151518
margin_curve,5.3836215416,surface,9.7119442619,0.2880557381,0.0260194453,17915.0812113910,11.9462557783,1784.9257941072,18392.9289044277,0.0000000000,1839.2928904428,-0.7620681240,193.0416056324,10.0000000000,17914.3352677744,5.0228355039,1791.6957040897
margin_curve,5.4336215416,surface,9.9198013802,0.0801986198,0.0252293175,17915.0812113910,11.9462557783,1784.7757941072,18378.0033465746,0.0000000000,1837.8003346575,-0.7620681240,193.0416056324,10.0000000000,17914.3196391538,4.8703079541,1791.6861797360
margin_curve,5.4529022818,surface,9.9999999998,0.0000000002,0.0249242896,17915.0812113910,11.9462557783,1784.7179518866,18372.2478305085,0.0000000000,1837.2247830509,-0.7620681240,193.0416056324,10.0000000000,17914.3136114984,4.8114248781,1791.6825034462
margin_curve,5.4836215416,surface,10.1278301789,-0.1278301789,0.0244379054,17915.0812113910,11.9462557783,1784.6257941072,18363.0777887214,0.0000000000,1836.3077788721,-0.7620681240,193.0416056324,10.0000000000,17914.3040066823,4.7175325055,1791.6766420576
margin_curve,5.5336215416,surface,10.3360311690,-0.3360311690,0.0236452061,17915.0812113910,11.9462557783,1784.4757941072,18348.1522308683,0.0000000000,1834.8152230868,-0.7620681240,193.0416056324,10.0000000000,17914.2883703442,4.5645085533,1791.6670910213
margin_curve,5.5836215416,surface,10.5444048721,-0.5444048721,0.0228512538,17915.0812113910,11.9462557783,1784.3257941072,18333.2266730151,0.0000000000,1833.3226673015,-0.7316992429,193.0383467324,10.0000000000,17914.2727362195,4.4111682635,1791.6574581849
margin_curve,5.6336215416,surface,10.7529518427,-0.7529518427,0.0220559692,17915.0812113910,11.9462557783,1784.1757941072,18318.3011151620,0.0000000000,1831.8301115162,-0.7316992429,193.0383467324,10.0000000000,17914.2570918896,4.2576478273,1791.6478827144
margin_curve,5.6836215416,surface,10.9616725537,-0.9616725537,0.0212593878,17915.0812113910,11.9462557783,1784.0257941072,18303.3755573088,0.0000000000,1830.3375557309,-0.7316992429,193.0383467324,10.0000000000,17914.2414436454,4.1038770646,1791.6382937899
margin_curve,5.7336215416,surface,11.1705675295,-1.1705675295,0.0204615064,17915.0812113910,11.9462557783,1783.8757941072,18288.4499994557,0.0000000000,1828.8449999456,-0.7316992429,193.0383467324,10.0000000000,17914.2257914707,3.9498553630,1791.6286913777
margin_curve,5.7836215416,surface,11.3796372976,-1.3796372976,0.0196623219,17915.0812113910,11.9462557783,1783.7257941072,18273.5244416025,0.0000000000,1827.3524441603,-0.7316992429,193.0383467324,10.0000000000,17914.2101353495,3.7955821075,1791.6190754443
margin_curve,5.8336215416,surface,11.5888823886,-1.5888823886,0.0188618310,17915.0812113910,11.9462557783,1783.5757941072,18258.5988837494,0.0000000000,1825.8598883749,-0.7316992429,193.0383467324,10.0000000000,17914.1944752657,3.6410566816,1791.6094459558
margin_curve,5.8529022818,surface,11.6696173452,-1.6696173452,0.0185528003,17915.0812113910,11.9462557783,1783.5179518866,18252.8433676833,0.0000000000,1825.2843367683,-0.7316992429,193.0383467324,10.0000000000,17914.1884354434,3.5814018894,1791.6057290539
